symbol,exchange,affidabilita
AVY.NYSE,NYSE,confermato
AWK.NYSE,NYSE,confermato
AWP.NYSE,NYSE,confermato
AX.NYSE,NYSE,confermato
AXON.NAS,NAS,confermato
AXP.NYSE,NYSE,confermato
AXS.NYSE,NYSE,confermato
AXSM.NAS,NAS,confermato
AXTA.NYSE,NYSE,confermato
AYI.NYSE,NYSE,confermato
AYRO.NAS,NAS,confermato
AYTU.NAS,NAS,confermato
AZN.LSE,LSE,confermato
AZNCF.NAS,NAS,confermato
AZO.NYSE,NYSE,confermato
B.NYSE,NYSE,confermato
BA.LSE,LSE,confermato
BA.NYSE,NYSE,confermato
BABA.NYSE,NYSE,confermato
BAC.NYSE,NYSE,confermato
BAH.NYSE,NYSE,confermato
BAM.NYSE,NYSE,confermato
BARC.LSE,LSE,confermato
BAS.ETR,ETR,confermato
BATS.LSE,LSE,confermato
BAX.NYSE,NYSE,confermato
BAYN.ETR,ETR,confermato
BB.NYSE,NYSE,confermato
BBAR.NYSE,NYSE,confermato
BBD.NYSE,NYSE,confermato
BBIO.NAS,NAS,confermato
BBT.NYSE,NYSE,confermato
BBVA.MAD,MAD,confermato
BBW.NYSE,NYSE,confermato
BBY.NYSE,NYSE,confermato
BC.NYSE,NYSE,confermato
BC8.ETR,ETR,confermato
BCO.NYSE,NYSE,confermato
BCRX.NAS,NAS,confermato
BCS.NYSE,NYSE,confermato
BDC.NYSE,NYSE,confermato
BDEV.LSE,LSE,confermato
BDJ.NYSE,NYSE,confermato
BDN.NYSE,NYSE,confermato
BE.NYSE,NYSE,confermato
BEI.ETR,ETR,confermato
BEN.NYSE,NYSE,confermato
BFAM.NYSE,NYSE,confermato
BFH.NYSE,NYSE,confermato
BG.NYSE,NYSE,confermato
BGC.NAS,NAS,confermato
BHF.NAS,NAS,confermato
BHP.LSE,LSE,confermato
BIDU.NAS,NAS,confermato
BIIB.NAS,NAS,confermato
BIO.NYSE,NYSE,confermato
BIP.NYSE,NYSE,confermato
BIRD.NAS,NAS,confermato
BJ.NYSE,NYSE,confermato
BK.NYSE,NYSE,confermato
BKD.NYSE,NYSE,confermato
BKG.LSE,LSE,confermato
BKNG.NAS,NAS,confermato
BKR.NAS,NAS,confermato
BKR.NYSE,NYSE,confermato
BKT.MAD,MAD,confermato
BLDR.NAS,NAS,confermato
BLFS.NAS,NAS,confermato
BLK.NYSE,NYSE,confermato
BLMN.NAS,NAS,confermato
BLND.LSE,LSE,confermato
BLNK.NAS,NAS,confermato
BMI.NYSE,NYSE,confermato
BMRN.NAS,NAS,confermato
BMW.ETR,ETR,confermato
BMY.NYSE,NYSE,confermato
BN.PAR,PAR,confermato
BNGO.NAS,NAS,confermato
BNP.PAR,PAR,confermato
BNR.ETR,ETR,confermato
BNTX.NAS,NAS,confermato
BNY.NYSE,NYSE,confermato
BNZL.LSE,LSE,confermato
BOL.PAR,PAR,confermato
BOOT.NYSE,NYSE,confermato
BOSS.ETR,ETR,confermato
BOX.NYSE,NYSE,confermato
BP.LSE,LSE,confermato
BR.NYSE,NYSE,confermato
